date.added.to.catalog	pubmedid	first.author	date	journal	link	study	disease.trait	initial.sample.size	replication.sample.size	region	chr.id	chr.pos	reported.genes	mapped.gene	upstream.gene.id	downstream.gene.id	snp.gene.ids	upstream.gene.distance	downstream.gene.distance	strongest.snp.risk.allele	snps	merged	snp.id.current	context	intergenic	risk.allele.frequency	pvalue	pvalue.mlog	p.value.text	OR.or.beta	95%.ci.text	platform.snp.passing.qc
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	7p12.3	7	47397647	TNS3	TNS3			64759			rs56232506-A	rs56232506		56232506	intron_variant	0	0.45	9.00E-09	8.045757491		1.06	[1.04-1.08]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	9p21.3	9	22041999	CDKN2B-AS1	CDKN2B-AS1			100048912			rs17694493-G	rs17694493		17694493	intron_variant	0	0.14	1.00E-06	6		1.08	[1.05-1.11]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	10q11.22	10	45587537	8-Mar	8-Mar			220972			rs76934034-T	rs76934034		76934034	intron_variant	0	0.91	1.00E-08	8		1.13	[1.09-1.17]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	11q23.2	11	113936459	HTR3B	HTR3B			9177			rs11214775-G	rs11214775		11214775	intron_variant	0	0.71	5.00E-08	7.301029996		1.07	[1.04-1.09]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	12q13.11	12	48025835	RP1-228P16.4	LOC105369750			105369750			rs80130819-A	rs80130819		80130819	upstream_gene_variant	0	0.91	2.00E-09	8.698970004		1.14	[1.09-1.18]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	14q24.2	14	70625539	TTC9	LOC101928075			101928075			rs8014671-G	rs8014671		8014671	intron_variant	0	0.59	3.00E-07	6.522878745		1.06	[1.04-1.08]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	Xp11.22	X	52867918	XAGE3	XAGE3			170626			rs2807031-C	rs2807031		2807031	intron_variant	0	0.18	3.00E-11	10.52287875		1.07	[1.05-1.09]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	Xq13.1	X	70920000	SLC7A	TEX11 - SLC7A3	56159	84889		11283	5579	rs6625711-A	rs6625711		6625711	intergenic_variant	0	0.41	6.00E-07	6.22184875		1.04	[1.03-1.06]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	Xq13.1	X	71188133	"NLGN3, BCYRN1"	NLGN3 - GJB1	54413	2705		12826	27079	rs4844289-G	rs4844289		4844289	intron_variant	0	0.39	9.00E-08	7.045757491		1.04	[1.03-1.06]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	1q32.1	1	205788696	SLC41A1	LOC105371702 - SLC41A1	105371702	254428		5073	397	rs1775148-C	rs1775148		1775148	downstream_gene_variant	0	0.27	4.00E-08	7.397940009		1.06	[1.04-1.08]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	6q14.1	6	75786165	MYO6	MYO6			4646			rs9443189-G	rs9443189		9443189	intron_variant	0	0.14	4.00E-08	7.397940009		1.08	[1.05-1.11]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	14q23.1	14	60655808	SIX1	SIX1 - SIX4	6495	51804		6371	53730	rs7153648-C	rs7153648		7153648	intron_variant	0	0.06	2.00E-09	8.698970004		1.11	[1.07-1.14]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	16q22.2	16	71657426	PHLPP2	PHLPP2			23035			rs12051443-A	rs12051443		12051443	intron_variant	0	0.34	3.00E-08	7.522878745		1.06	[1.04-1.08]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	20q13.13	20	50911385	ADNP	ADNP			23394			rs12480328-T	rs12480328		12480328	intron_variant	0	0.93	5.00E-11	10.30103		1.13	[1.10-1.17]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	21q22.3	21	41529494	TMPRSS2	TMPRSS2 - LOC105372809	7113	105372809		21336	23310	rs1041449-G	rs1041449		1041449	intron_variant	0	0.44	3.00E-08	7.522878745		1.06	[1.04-1.08]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	22q11.21	22	19770369	TBX1	TBX1			6899			rs2238776-G	rs2238776		2238776	intron_variant	0	0.8	2.00E-08	7.698970004		1.08	[1.05-1.11]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	1q21.3	1	150685811	GOLPH3L	GOLPH3L			55204			rs17599629-G	rs17599629		17599629	intron_variant	0	0.22	6.00E-11	10.22184875	(EA)	1.1	[1.07-1.13]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	2p25.1	2	10570604	NOL10	LOC105373426 - NOL10	105373426	79954		21928	162	rs9287719-C	rs9287719		9287719	downstream_gene_variant	0	0.46	2.00E-08	7.698970004	(EA)	1.07	[1.04-1.09]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	4q13.3	4	72989536	COX18	LOC105377273			105377273			rs10009409-T	rs10009409		10009409	intergenic_variant	0	0.32	2.00E-10	9.698970004	(EA)	1.09	[1.06-1.12]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	6p24.2	6	11218797	NEDD9	NEDD9			4739			rs4713266-C	rs4713266		4713266	intron_variant	0	0.52	4.00E-08	7.397940009	(EA)	1.07	[1.04-1.09]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	6p22.1	6	30105999	TRIM31	"TRIM31, TRIM31-AS1"			"11074, 104533120"			rs115457135-A	rs115457135		115457135	intron_variant	0	0.22	2.00E-08	7.698970004	(EA)	1.08	[1.06-1.11]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	6p21.32	6	32433162	HLA-DRB6	BTNL2 - HLA-DRA	56244	3122		24283	6680	rs115306967-G	rs115306967		115306967	intron_variant	0	0.65	3.00E-09	8.522878745	(EA)	1.08	[1.06-1.11]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	7p12.3	7	47397647	TNS3	TNS3			64759			rs56232506-A	rs56232506		56232506	intron_variant	0	0.45	2.00E-09	8.698970004	(EA)	1.07	[1.05-1.09]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	9p21.3	9	22041999	CDKN2B-AS1	CDKN2B-AS1			100048912			rs17694493-G	rs17694493		17694493	intron_variant	0	0.14	4.00E-08	7.397940009	(EA)	1.1	[1.06-1.13]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	10q11.22	10	45587537	8-Mar	8-Mar			220972			rs76934034-T	rs76934034		76934034	intron_variant	0	0.91	5.00E-09	8.301029996	(EA)	1.14	[1.10-1.18]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	11q23.2	11	113936459	HTR3B	HTR3B			9177			rs11214775-G	rs11214775		11214775	intron_variant	0	0.71	3.00E-08	7.522878745	(EA)	1.08	[1.05-1.11]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	12q13.11	12	48025835	RP1-228P16.4	LOC105369750			105369750			rs80130819-A	rs80130819		80130819	upstream_gene_variant	0	0.91	4.00E-08	7.397940009	(EA)	1.13	[1.08-1.17]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	14q24.2	14	70625539	TTC9	LOC101928075			101928075			rs8014671-G	rs8014671		8014671	intron_variant	0	0.59	1.00E-08	8	(EA)	1.07	[1.05-1.10]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	Xp11.22	X	52867918	XAGE3	XAGE3			170626			rs2807031-C	rs2807031		2807031	intron_variant	0	0.18	9.00E-10	9.045757491	(EA)	1.07	[1.04-1.09]	"Affymetrix, Illumina [up to 16852405] (imputed)"
