"","GENE","ORF","ID","Days","pVal","Value","Diff","Abundance","Description"
"4","LSM6","YDR378C",1768,"2 3 4 5 7 10 12 14",1.56494900337841e-12,15.174,-1.058,NA,"Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA"
"5","MTD1","YKR080W",651,"3 4 5 7 10 12 14",2.19140380773856e-12,15.999,-0.561,48900,"NAD-dependent 5,10-methylenetetrahydrafolate dehydrogenase; plays a catalytic role in oxidation of cytoplasmic one-carbon units; expression is regulated by Bas1p and Bas2p, repressed by adenine, and may be induced by inositol and choline"
"2792","RPS0B","YLR048W",2878,"3 4 5 7 10 12 14",3.71268733853585e-12,16.223,0.495,4870,"Protein component of the small (40S) ribosomal subunit; RPS0B has a paralog, RPS0A, that arose from the whole genome duplication; required for maturation of 18S rRNA along with Rps0Ap; deletion of either RPS0 gene reduces growth rate, deletion of both genes is lethal; homologous to human ribosomal protein SA and bacterial S2"
"6","RPL2A","YFR031C-A",2124,"3 4 5 7 10 12 14",1.55883464455653e-11,13.338,-2.543,589,"Ribosomal 60S subunit protein L2A; homologous to mammalian ribosomal protein L2 and bacterial L2; RPL2A has a paralog, RPL2B, that arose from the whole genome duplication"
"7","PIB2","YGL023C",1375,"3 4 5 7 10 12 14",2.15834660526089e-11,13.125,-2.603,6920,"Protein of unknown function; contains FYVE domain; similar to Fab1 and Vps27"
"2793","OLA1","YBR025C",1240,"4 5 7 10 12 14",3.93108033474385e-11,15.528,0.59,2600,"P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress"
"2794","APM1","YPL259C",1981,"3 4 5 7 10 12 14",4.26731675808274e-11,13.649,1.42,NA,"Mu1-like medium subunit of the AP-1 complex; binds clathrin; involved in clathrin-dependent Golgi protein sorting; the AP-1 complex is the clathrin-associated protein complex"
"2795","HXT1","YHR094C",1960,"2 3 4 5 7 10 12 14",6.2906197339827e-11,14.911,0.592,NA,"Low-affinity glucose transporter of the major facilitator superfamily; expression is induced by Hxk2p in the presence of glucose and repressed by Rgt1p when glucose is limiting; HXT1 has a paralog, HXT6, what arose from the whole genome duplication"
"2796","TYS1","YGR185C",3456,"3 4 5 7 10 12 14",9.29739812297527e-11,16.559,0.399,149,"Cytoplasmic tyrosyl-tRNA synthetase; required for cytoplasmic protein synthesis; interacts with positions 34 and 35 of the tRNATyr anticodon; mutations in human ortholog YARS are associated with Charcot-Marie-Tooth (CMT) neuropathies; protein abundance increases in response to DNA replication stress"
"8","MET5","YJR137C",2507,"3 4 5 7 10 12 14",2.46261389789906e-10,13.311,-2.9,2770,"Sulfite reductase beta subunit; involved in amino acid biosynthesis, transcription repressed by methionine"
"2797","VPS35","YJL154C",612,"4 5 7 10 12 14",3.54286072899903e-10,15.64,0.488,1950,"Endosomal subunit of membrane-associated retromer complex; required for retrograde transport; receptor that recognizes retrieval signals on cargo proteins, forms subcomplex with Vps26p and Vps29p that selects cargo proteins for retrieval; interacts with Ypt7p"
"9",NA,"YJR154W",3131,"4 5 7 10 12 14",4.12022791416608e-10,15.562,-0.778,NA,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm"
"2798","ERP1","YAR002C-A",1924,"5 7 10 12 14",4.12022791416608e-10,16.13,0.389,3420,"Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Erp2p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog, ERP6, that arose from the whole genome duplication"
"2799",NA,"YBR241C",1348,"3 5 7 10 12 14",4.12022791416608e-10,15.274,0.724,NA,"Putative transporter, member of the sugar porter family; green fluorescent protein (GFP)-fusion protein localizes to the vacuolar membrane; YBR241C is not an essential gene; YBR241C has a paralog, VPS73, that arose from the whole genome duplication"
"2800","GRS1","YBR121C",490,"2 3 4 5 7 10 12 14",4.42412108723635e-10,16.519,0.401,784,"Cytoplasmic and mitochondrial glycyl-tRNA synthase; ligates glycine to the cognate anticodon-bearing tRNA; transcription termination factor that may interact with the 3'-end of pre-mRNA to promote 3'-end formation; GRS1 has a paralog, GRS2, that arose from the whole genome duplication; human homolog GARS implicated in Charcot-Marie-Tooth disease, can complement yeast null mutant"
"10","VMA1","YDL185W",2393,"3 4 5 7 10 12 14",5.16539412049247e-10,12.486,-2.305,799,"Subunit A of the V1 peripheral membrane domain of V-ATPase; protein precursor undergoes self-catalyzed splicing to yield the extein Tfp1p and the intein Vde (PI-SceI), which is a site-specific endonuclease; the V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase) has eight subunits; involved in methionine restriction extension of chronological lifespan in an autophagy-dependent manner"
"2801","INA1","YLR413W",2958,"2 3 4 5 7 10 12 14",5.4144617172474e-10,13.406,1.049,2840,"Putative protein of unknown function; not an essential gene; YLR413W has a paralog, FAT3, that arose from the whole genome duplication"
"11","SAM2","YDR502C",630,"5 7 10 12 14",6.44690043584967e-10,15.575,-0.483,1300,"S-adenosylmethionine synthetase; catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine; comparative analysis suggests that a mitochondrially targeted form may result from translation starting at a non-canonical codon upstream of the annotated start codon"
"12","SEC3","YER008C",3272,"4 5 7 10 12 14",6.44690043584967e-10,14.516,-0.956,NA,"Subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to sites of exocytosis prior to SNARE-mediated fusion; PtdIns[4,5]P2-binding protein that localizes to exocytic sites in a Rho1p-dependent, actin-independent manner, targeting and anchoring the exocyst to the plasma membrane with Exo70p; direct GTP Rho1p effector; required for ER inheritance; relocalizes away from bud neck upon DNA replication stress"
"13","GLN1","YPR035W",1380,"4 5 7 10 12 14",9.88562462934032e-10,16.245,-0.373,3280,"Glutamine synthetase (GS); synthesizes glutamine from glutamate and ammonia; with Glt1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source and by amino acid limitation; forms filaments of back-to-back stacks of cylindrical homo-decamers at low pH, leading to enzymatic inactivation and storage during states of advanced cellular starvation; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress"
"2802","CTK3","YML112W",3014,"2 3 4 5 7 10 12 14",9.95635750226406e-10,13.504,1.553,NA,"Gamma subunit of C-terminal domain kinase I; CTDK-I phosphorylates RNA polymerase II subunit Rpo21p to affect transcription and pre-mRNA 3' end processing, and also phosphorylates ribosomal protein Rps2p to increase translational fidelity; protein abundance increases in response to DNA replication stress"
"2803","FET3","YMR058W",1432,"4 5 7 10 12 14",1.09489880405392e-09,14.688,0.659,414,"Ferro-O2-oxidoreductase; multicopper oxidase that oxidizes ferrous (Fe2+) to ferric iron (Fe3+) for subsequent cellular uptake by transmembrane permease Ftr1p; required for high-affinity iron uptake and involved in mediating resistance to copper ion toxicity, belongs to class of integral membrane multicopper oxidases; protein abundance increases in response to DNA replication stress"
"2804","FMP45","YDL222C",2740,"2 3 4 5 7 10 12 14",1.81549170551403e-09,14.759,0.597,NA,"Integral membrane protein localized to mitochondria; required for sporulation and maintaining sphingolipid content; similar to SUR7; FMP45 has a paralog, YNL194C, that arose from the whole genome duplication"
"2805","TMA19","YKL056C",3226,"2 3 4 5 7 10 12 14",1.81549170551403e-09,15.814,0.399,NA,"Protein that associates with ribosomes; homolog of translationally controlled tumor protein; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and relocates to the mitochondrial outer surface upon oxidative stress"
"14","SSB2","YNL209W",3246,"3 4 5 7 10 12 14",1.822913064583e-09,16.509,-0.344,23300,"Cytoplasmic ATPase that is a ribosome-associated molecular chaperone; functions with J-protein partner Zuo1p; may be involved in the folding of newly-synthesized polypeptide chains; member of the HSP70 family; SSB2 has a paralog, SSB1, that arose from the whole genome duplication"
"15","VPS45","YGL095C",572,"5 7 10 12 14",1.87575217811895e-09,12.831,-2.373,996,"Protein of the Sec1p/Munc-18 family; essential for vacuolar protein sorting; required for the function of Pep12p and the early endosome/late Golgi SNARE Tlg2p; essential for fusion of Golgi-derived vesicles with the prevacuolar compartment"
"2806","BET3","YKR068C",1124,"7 10 12 14",1.87575217811895e-09,15.374,0.536,18600,"Core component of transport protein particle (TRAPP) complexes I-III; TRAPP complexes are related multimeric guanine nucleotide-exchange factors for the GTPase Ypt1, regulating ER-Golgi traffic (TRAPPI), intra-Golgi traffic (TRAPPII), endosome-Golgi traffic (TRAPPII and III) and autophagy (TRAPPIII); hydrophilic homodimeric protein that acts in conjunction with SNARE proteins in targeting and fusion of ER to Golgi transport vesicles"
"2807","GNP1","YDR508C",1315,"3 4 5 7 10 12 14",1.95636523452476e-09,15.519,0.407,NA,"High-affinity glutamine permease; also transports Leu, Ser, Thr, Cys, Met and Asn; expression is fully dependent on Grr1p and modulated by the Ssy1p-Ptr3p-Ssy5p (SPS) sensor of extracellular amino acids; GNP1 has a paralog, AGP1, that arose from the whole genome duplication"
"16","GLC3","YEL011W",3391,"4 5 7 10 12 14",1.95636523452476e-09,13.018,-2.194,NA,"Glycogen branching enzyme, involved in glycogen accumulation; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress; glycogen accumulation defect of the null mutant is functionally complemented by human GBE1, which is associated with glycogen storage disease"
"18","YRB2","YIL063C",2148,"3 4 5 7 10 12 14",2.8765593765891e-09,12.996,-1.788,259,"Protein of unknown function; involved in nuclear processes of the Ran-GTPase cycle; involved in nuclear protein export; contains Ran Binding Domain and FxFG repeats; interacts with Srm1p, GTP-Gsp1p, Rna1p and Crm1p; relocalizes to the cytosol in response to hypoxia; not essential for viability"
"17","NCS6","YGL211W",2457,"4 5 7 10 12 14",2.8765593765891e-09,12.811,-2.014,784,"Protein required for uridine thiolation of Gln, Lys, and Glu tRNAs; required for the thiolation of uridine at the wobble position of Gln, Lys, and Glu tRNAs; has a role in urmylation and in invasive and pseudohyphal growth; inhibits replication of Brome mosaic virus in S. cerevisiae"
"19","SUR2","YDR297W",2873,"4 5 7 10 12 14",3.04597803580729e-09,15.263,-0.675,1200,"Sphinganine C4-hydroxylase; catalyses the conversion of sphinganine to phytosphingosine in sphingolipid biosyntheis"
"2808","MPD2","YOL088C",625,"3 4 5 7 10 12 14",3.15412926704702e-09,13.444,1.397,NA,"Member of the protein disulfide isomerase (PDI) family; exhibits chaperone activity; overexpression suppresses the lethality of a pdi1 deletion but does not complement all Pdi1p functions; undergoes oxidation by Ero1p"
"20","GYP5","YPL249C",1126,"3 4 5 7 10 12 14",4.21919740405387e-09,13.541,-1.972,NA,"GTPase-activating protein (GAP) for yeast Rab family members; involved in ER to Golgi trafficking; exhibits GAP activity toward Ypt1p that is stimulated by Gyl1p, also acts on Sec4p; interacts with Gyl1p, Rvs161p and Rvs167p; involved in recruiting Rvs167p to the bud tip during polarized growth; relocalizes from bud neck to cytoplasm upon DNA replication stress; GYP5 has a paralog, GYL1, that arose from the whole genome duplication"
"2809","SNO1","YMR095C",216,"5 7 10 12 14",4.48176787757102e-09,14.979,0.568,3510,"Protein of unconfirmed function; involved in pyridoxine metabolism; expression is induced during stationary phase; forms a putative glutamine amidotransferase complex with Snz1p, with Sno1p serving as the glutaminase"
"2810","TAH18","YPR048W",1826,"3 4 5 7 10 12 14",4.5246795994436e-09,11.494,2.175,476,"Conserved NAPDH-dependent diflavin reductase; component of an early step in the cytosolic Fe-S protein assembly (CIA) machinery; transfers electrons from NADPH to the Fe-S cluster of Dre2p; plays a pro-death role under oxidative stress; Tah18p-dependent nitric oxide synthesis confers high-temperature stress tolerance; possible target for development of antifungal drugs"
"2811","DCP2","YNL118C",1636,"7 10 12 14",6.36521477744344e-09,16.068,0.362,937,"Catalytic subunit of Dcp1p-Dcp2p decapping enzyme complex; removes 5' cap structure from mRNAs prior to their degradation; also enters nucleus and positively regulates transcription initiation; nudix hydrolase family member; forms cytoplasmic foci upon DNA replication stress; human homolog DCP2 complements yeast dcp2 thermosensitive mutant"
"2812","PAB1","YER165W",2354,"2 3 4 5 7 10 12 14",6.4686212712032e-09,15.952,0.346,NA,"Poly(A) binding protein; part of the 3'-end RNA-processing complex, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G; stimulates, but is not required for the deadenylation activity of the Pan2p-Pan3p poly(A)-ribonuclease complex"
"21","BUD3","YCL014W",3008,"3 4 5 7 10 12 14",6.6030014088101e-09,12.897,-2.28,1040,"Protein involved in bud-site selection; required for axial budding pattern; localizes with septins to bud neck in mitosis and may constitute an axial landmark for next round of budding"
"22","SRF1","YDL133W",2766,"3 4 5 7 10 12 14",6.88166974673652e-09,13.313,-2.007,5550,"Regulator of phospholipase D (Spo14p); interacts with Spo14p and regulates its catalytic activity; capable of buffering the toxicity of C16:0 platelet activating factor, a lipid that accumulates intraneuronally in Alzheimer's patients"
"23","MET16","YPR167C",1527,"5 7 10 12 14",8.04788741068853e-09,14.78,-0.7,NA,"3'-phosphoadenylsulfate reductase; reduces 3'-phosphoadenylyl sulfate to adenosine-3',5'-bisphosphate and free sulfite using reduced thioredoxin as cosubstrate, involved in sulfate assimilation and methionine metabolism"
"2813",NA,"YKL069W",3271,"3 4 5 7 10 12 14",9.01110528605361e-09,15.335,0.475,NA,"Methionine-R-sulfoxide reductase; reduces the R enantiomer of free Met-SO, in contrast to Ycl033Cp which reduces Met-R-SO in a peptide linkage; has a role in protection against oxidative stress; relative distribution to the nucleus increases upon DNA replication stress"
"2814","VRP1","YLR337C",738,"7 10 12 14",9.23486359122611e-09,15.717,0.396,23600,"Verprolin, proline-rich actin-associated protein; involved in cytoskeletal organization and cytokinesis; promotes actin nucleation and endocytosis; related to mammalian Wiskott-Aldrich syndrome protein (WASP)-interacting protein (WIP)"
"2815",NA,"YBL039W-A",1836,"10 12 14",9.53465874840427e-09,16.309,0.313,4010,NA
"2816","RPS26A","YGL189C",2844,"3 4 5 7 10 12 14",9.76152788153977e-09,15.55,0.365,1270,"Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S26, no bacterial homolog; RPS26A has a paralog, RPS26B, that arose from the whole genome duplication"
"24",NA,"YGL242C",2531,"3 4 5 7 10 12 14",1.38680208301973e-08,12.766,-1.932,3000,"Protein of unknown function; N-terminally propionylated in vivo; deletion mutant is viable"
"2817","CDC39","YCR093W",1054,"5 7 10 12 14",1.40647809991744e-08,14.607,0.71,1950,"Component of the CCR4-NOT1 core complex; this complex has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor"
"25","RSE1","YML049C",2562,"3 4 5 7 10 12 14",1.6503109555218e-08,12.146,-2.009,7250,"Protein involved in pre-mRNA splicing; component of the pre-spliceosome; associates with U2 snRNA; involved in ER to Golgi transport"
"2818","LYS20","YDL182W",160,"3 4 5 7 10 12 14",1.6503109555218e-08,14.327,0.705,NA,"Homocitrate synthase isozyme and functions in DNA repair; catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate, which is the first step in the lysine biosynthesis pathway; LYS20 has a paralog, LYS21, that arose from the whole genome duplication"
"26","SAC3","YDR159W",3412,"4 5 7 10 12 14",1.7096892706326e-08,11.767,-2.103,NA,"mRNA export factor; required for biogenesis of the small ribosomal subunit; component of TREX-2 complex (Sac3p-Thp1p-Sus1p-Cdc31p) involved in transcription elongation and mRNA export from the nucleus; involved in post-transcriptional tethering of active genes to the nuclear periphery and to non-nascent mRNP; similar to the human germinal center-associated nuclear protein (GANP)"
"2819","HXT3","YDR345C",1585,"3 4 5 7 10 12 14",1.75776167411565e-08,15.851,0.329,1310,"Low affinity glucose transporter of the major facilitator superfamily; expression is induced in low or high glucose conditions; HXT3 has a paralog, HXT5, that arose from the whole genome duplication"
"27","GPI17","YDR434W",3323,"4 5 7 10 12 14",2.00239042628675e-08,14.66,-0.822,NA,"Transmembrane protein; subunit of the glycosylphosphatidylinositol transamidase complex that adds GPIs to newly synthesized proteins; human PIG-S homolog"
"2820","BDH1","YAL060W",3014,"7 10 12 14",2.12266366253078e-08,16.141,0.341,NA,"NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source"
"2821","HCR1","YLR192C",2453,"3 4 5 7 10 12 14",2.18969836132343e-08,16.377,0.296,7330,"eIF3j component of translation initiation factor 3 (eIF3); dual function protein involved in translation initiation as a substoichiometric component (eIF3j) of eIF3; required for processing of 20S pre-rRNA; required at post-transcriptional step for efficient retrotransposition; absence results in decreased Ty1 Gag:GFP protein levels; binds to eIF3 subunits Rpg1p and Prt1p and 18S rRNA; eIF3 is also involved in programmed stop codon readthrough"
"28","FMP27","YLR454W",978,"3 4 5 7 10 12 14",2.43955349853456e-08,12.808,-1.854,NA,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"29","PRO3","YER023W",485,"4 5 7 10 12 14",2.67870365838966e-08,15.416,-0.407,1890,"Delta 1-pyrroline-5-carboxylate reductase; catalyzes the last step in proline biosynthesis"
"2822","PDC1","YLR044C",1909,"3 4 5 7 10 12 14",2.67870365838966e-08,12.229,2.274,339,"Major of three pyruvate decarboxylase isozymes; key enzyme in alcoholic fermentation; decarboxylates pyruvate to acetaldehyde; involved in amino acid catabolism; subject to glucose-, ethanol-, and autoregulation; activated by phosphorylation in response to glucose levels; N-terminally propionylated in vivo"
"2823","MOH1","YBL049W",1085,"3 4 5 7 10 12 14",2.79561465130634e-08,12.071,2.17,NA,"Protein of unknown function, essential for stationary phase survival; not required for growth on nonfermentable carbon sources; possibly linked with vacuolar transport"
"2824","IES5","YER092W",2028,"3 4 5 7 10 12 14",2.81450713818239e-08,12.511,2.538,NA,"Non-essential INO80 chromatin remodeling complex subunit; deletion affects telomere maintenance via recombination"
"2825","UBP13","YBL067C",1571,"3 4 5 7 10 12 14",2.87224686274803e-08,13.538,1.124,112,"Ubiquitin-specific protease that cleaves Ub-protein fusions; UBP13 has a paralog, UBP9, that arose from the whole genome duplication"
"2826","STO1","YMR125W",2289,"3 4 5 7 10 12 14",3.4729671311844e-08,11.965,2.561,NA,"Large subunit of the nuclear mRNA cap-binding protein complex; interacts with Npl3p to carry nuclear poly(A)+ mRNA to cytoplasm; also involved in nuclear mRNA degradation and telomere maintenance; orthologous to mammalian CBP80"
"2827",NA,"YIL067C",3359,"3 4 5 7 10 12 14",3.53707732973512e-08,11.215,1.907,NA,"Uncharacterized protein of unknown function"
"30","QCR9","YGR183C",2457,"3 4 5 7 10 12 14",3.6395014376461e-08,12.955,-1.781,784,"Subunit 9 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; required for electron transfer at the ubiquinol oxidase site of the complex"
"2828","VPS24","YKL041W",6,"4 5 7 10 12 14",3.83645108088286e-08,14.76,0.569,3870,"One of four subunits of the ESCRT-III complex; forms an endosomal sorting complex required for transport III (ESCRT-III) subcomplex with Did4p; involved in the sorting of transmembrane proteins into the multivesicular body (MVB) pathway"
"31","EGO2","YCR075W-A",2415,"3 4 5 7 10 12 14",3.85852849034625e-08,14.781,-0.583,NA,"Component of the EGO and GSE complexes; identified by homology to Ashbya gossypii; YCR075W-A has a paralog, YNR034W-A, that arose from the whole genome duplication"
"2829","RPL41B","YDL133C-A",2715,"2 3 4 5 7 10 12 14",4.01897037909895e-08,15.503,0.355,NA,"Ribosomal 60S subunit protein L41B; comprises only 25 amino acids; rpl41a rpl41b double null mutant is viable; homologous to mammalian ribosomal protein L41, no bacterial homolog; RPL41B has a paralog, RPL41A, that arose from the whole genome duplication"
"32","ARC1","YGL105W",2426,"4 5 7 10 12 14",4.20503246255274e-08,15.61,-0.363,521,"Protein that binds tRNA and methionyl- and glutamyl-tRNA synthetases; involved in tRNA delivery, stimulating catalysis, and ensuring localization; also binds quadruplex nucleic acids; protein abundance increases in response to DNA replication stress; methionyl-tRNA synthetase is Mes1p; glutamyl-tRNA synthetase is Gus1p"
"33","POP8","YBL018C",1925,"4 5 7 10 12 14",4.78395774310969e-08,12.109,-2.045,3240,"Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; relocalizes to the cytosol in response to hypoxia"
"34","GAP1","YKR039W",1703,"1 3 4 5 7 10 12 14",4.93036924880694e-08,15.737,-0.551,3500,"General amino acid permease; Gap1p senses the presence of amino acid substrates to regulate localization to the plasma membrane when needed; essential for invasive growth"
"2830","NAT1","YDL040C",3092,"2 3 4 5 7 10 12 14",5.00316948059551e-08,13.821,0.893,259,"Subunit of protein N-terminal acetyltransferase NatA; NatA is comprised of Nat1p, Ard1p, and Nat5p; N-terminally acetylates many proteins, which influences multiple processes such as the cell cycle progression, heat-shock resistance, mating, sporulation, telomeric silencing and the early stages of mitophagy"
"35","GLT1","YDL171C",872,"2 3 4 5 7 10 12 14",5.47681846046311e-08,15.759,-0.352,5350,"NAD(+)-dependent glutamate synthase (GOGAT); synthesizes glutamate from glutamine and alpha-ketoglutarate; with Gln1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source; assembles into filaments as cells approach stationary phase and under cytosolic acidification and starvation conditions"
"2831","VPS29","YHR012W",578,"4 5 7 10 12 14",6.26340806483768e-08,15.193,0.468,5960,"Subunit of the membrane-associated retromer complex; endosomal protein; essential for endosome-to-Golgi retrograde transport; forms a subcomplex with Vps35p and Vps26p that selects cargo proteins for endosome-to-Golgi retrieval"
"36","GOT1","YMR292W",1579,"4 5 7 10 12 14",6.61190014039086e-08,14.261,-1.148,25000,"Homodimeric protein that is packaged into COPII vesicles; cycles between the ER and Golgi; involved in secretory transport but not directly required for aspects of transport assayed in vitro; may influence membrane composition"
"2832","BRE5","YNR051C",2908,"7 10 12 14",6.62666152645582e-08,16.105,0.315,NA,"Ubiquitin protease cofactor; forms deubiquitination complex with Ubp3p that coregulates anterograde and retrograde transport between the endoplasmic reticulum and Golgi compartments; null is sensitive to brefeldin A"
"2833","BUG1","YDL099W",2697,"7 10 12 14",7.11930290821618e-08,15.756,0.346,125,"Cis-golgi localized protein involved in ER to Golgi transport; forms a complex with the mammalian GRASP65 homolog, Grh1p; mutants are compromised for the fusion of ER-derived vesicles with Golgi membranes"
"2834","NUP159","YIL115C",2538,"7 10 12 14",8.1245239090723e-08,15.939,0.304,NA,"FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport; regulates ADP release from the ATP-dependent RNA helicase Dbp5p; forms a stable association with Nup82p, Gle2p and two other FG-nucleoporins (Nsp1p and Nup116p)"
"37","EXO84","YBR102C",3490,"4 5 7 10 12 14",8.45814130851947e-08,14.395,-0.946,1200,"Exocyst subunit with dual roles in exocytosis and spliceosome assembly; subunit of the the exocyst complex which mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane (PM) prior to SNARE-mediated fusion; required for exocyst assembly and targeting the complex to specific sites on the bud tip PM; associates the U1 snRNP; role in pre-mRNA splicing and prespliceosome formation; possible Cdc28 substrate"
"38","BNI5","YNL166C",3245,"4 5 7 10 12 14",8.70723258106331e-08,14.862,-0.566,6490,"Linker protein responsible for recruitment of myosin to the bud neck; interacts with the C-terminal extensions of septins Cdc11p and Shs1p and binds Myo1p to promote cytokinesis"
"39","CBF5","YLR175W",1927,"3 4 5 7 10 12 14",9.04674773343081e-08,16.326,-0.278,6300,"Pseudouridine synthase catalytic subunit of box H/ACA snoRNPs; acts on large and small rRNAs, on snRNA U2, and on some mRNAs; mutations in human ortholog dyskerin cause the disorder dyskeratosis congenita; small nucleolar ribonucleoprotein particles are also known as snoRNPs"
"2835","RPS1A","YLR441C",3406,"3 4 5 7 10 12 14",9.39200731981398e-08,16.085,0.345,NA,"Ribosomal protein 10 (rp10) of the small (40S) subunit; homologous to mammalian ribosomal protein S3A, no bacterial homolog; RPS1A has a paralog, RPS1B, that arose from the whole genome duplication"
