date.added.to.catalog	PUBMEDID	first.author	date	journal	link	STUDY	DISEASE/TRAIT	initial.sample.size	replication.sample.size	region	chr.id	chr.pos	reported.genes	mapped.gene	upstream.gene.id	downstream.gene.id	SNP_GENE_IDS	upstream.gene.distance	downstream.gene.distance	strongest.snp.risk.allele	SNPS	merged	snp.id.current	context	intergenic	risk.allele.frequency	pvalue	pvalue.mlog	p.value.text	OR.or.beta	95%.ci.text	platform.snp.passing.qc	CNV
6/16/2008	17460697	Steinthorsdottir V	4/26/2007	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17460697	A variant in CDKAL1 influences insulin response and risk of type 2 diabetes.	Type 2 diabetes	"1,399 European ancestry cases, 5,275 European ancestry controls"	"2,174 European ancestry cases, 7,287 European ancestry controls"	10q25.2	10	112998590	TCF7L2	TCF7L2			6934			rs7903146-?	rs7903146		7903146	intron_variant	0	0.3	2.00E-10	9.698970004		1.38	[NR]	Illumina [at least 313179]	N
6/16/2008	17460697	Steinthorsdottir V	4/26/2007	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17460697	A variant in CDKAL1 influences insulin response and risk of type 2 diabetes.	Type 2 diabetes	"1,399 European ancestry cases, 5,275 European ancestry controls"	"2,174 European ancestry cases, 7,287 European ancestry controls"	8q24.11	8	117172544	SLC30A8	"LOC105375716, SLC30A8"			"105375716, 169026"			rs13266634-C	rs13266634		13266634	missense_variant	0	0.67	3.00E-06	5.522878745		1.15	[1.08-1.22]	Illumina [at least 313179]	N
6/16/2008	17463246	Saxena R	4/26/2007	Science	www.ncbi.nlm.nih.gov/pubmed/17463246	Genome-wide association analysis identifies loci for type 2 diabetes and triglyceride levels.	Type 2 diabetes	"1,464 European ancestry cases, 1,467 European ancestry controls"	"5,065 European ancestry cases, 5,785 European ancestry controls"	10q23.33	10	92703125	HHEX	HHEX - EXOC6	3087	54536		7474	131588	rs1111875-C	rs1111875		1111875	regulatory_region_variant	0	0.53	6.00E-10	9.22184875	(DGI+FUSION+WTCCC)	1.13	[1.08-1.17]	Affymetrix [386731]	N
6/16/2008	17463246	Saxena R	4/26/2007	Science	www.ncbi.nlm.nih.gov/pubmed/17463246	Genome-wide association analysis identifies loci for type 2 diabetes and triglyceride levels.	Type 2 diabetes	"1,464 European ancestry cases, 1,467 European ancestry controls"	"5,065 European ancestry cases, 5,785 European ancestry controls"	8q24.11	8	117172544	SLC30A8	"LOC105375716, SLC30A8"			"105375716, 169026"			rs13266634-C	rs13266634		13266634	missense_variant	0	0.65	5.00E-08	7.301029996	(DGI+FUSION+WTCCC)	1.12	[1.07-1.16]	Affymetrix [386731]	N
6/16/2008	17463246	Saxena R	4/26/2007	Science	www.ncbi.nlm.nih.gov/pubmed/17463246	Genome-wide association analysis identifies loci for type 2 diabetes and triglyceride levels.	Type 2 diabetes	"1,464 European ancestry cases, 1,467 European ancestry controls"	"5,065 European ancestry cases, 5,785 European ancestry controls"	3p25.2	3	12351626	PPARG	PPARG			5468			rs1801282-C	rs1801282		1801282	missense_variant	0	0.86	2.00E-06	5.698970004	(DGI+FUSION+WTCCC)	1.14	[1.08-1.20]	Affymetrix [386731]	N
6/16/2008	17554300	WTCCC	6/7/2007	Nature	www.ncbi.nlm.nih.gov/pubmed/17554300	"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls."	Type 2 diabetes	"1,924 European ancestry cases, 2,938 European ancestry controls"	(see Zeggini 2007)	4q27	4	121744359	NR	ANXA5 - TMEM155	308	132332		47367	14571	rs7659604-T	rs7659604		7659604	intergenic_variant	0	0.38	9.00E-06	5.045757491		1.35	[1.19-1.54]	Affymetrix [469557]	N
6/16/2008	17554300	WTCCC	6/7/2007	Nature	www.ncbi.nlm.nih.gov/pubmed/17554300	"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls."	Type 2 diabetes	"1,924 European ancestry cases, 2,938 European ancestry controls"	(see Zeggini 2007)	10q25.2	10	112996282	TCF7L2	TCF7L2			6934			rs4506565-T	rs4506565		4506565	intron_variant	0	0.32	5.00E-12	11.30103		1.36	[1.20-1.54]	Affymetrix [469557]	N
9/9/2008	17668382	Salonen JT	6/26/2007	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/17668382	Type 2 diabetes whole-genome association study in four populations: the DiaGen consortium.	Type 2 diabetes	"201 Finland founder cases, 200 Finland founder controls, 200 Ashkenazi Jewish cases, 197 Ashkenazi Jewish controls, 99 European ancestry cases, 100 European ancestry controls"	"2,573 European ancestry cases, 2,776 European ancestry controls"	10q25.2	10	112998590	TCF7L2	TCF7L2			6934			rs7903146-A	rs7903146		7903146	intron_variant	0	NR	5.00E-08	7.301029996		1.71	[1.41-2.08]	Illumina [315917]	N
9/9/2008	17668382	Salonen JT	6/26/2007	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/17668382	Type 2 diabetes whole-genome association study in four populations: the DiaGen consortium.	Type 2 diabetes	"201 Finland founder cases, 200 Finland founder controls, 200 Ashkenazi Jewish cases, 197 Ashkenazi Jewish controls, 99 European ancestry cases, 100 European ancestry controls"	"2,573 European ancestry cases, 2,776 European ancestry controls"	2q12.1	2	105221141	intergenic	LOC105373528 - GPR45	105373528	11250		23744	20602	rs6712932-?	rs6712932		6712932	intergenic_variant	0	NR	6.00E-06	5.22184875		1.52	[1.27-1.82]	Illumina [315917]	N
6/16/2008	18372903	Zeggini E	3/30/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	"4,549 European ancestry cases, 5,579 European ancestry controls"	"24,194 European ancestry cases, 55,598 European ancestry controls"	1p12	1	119975336	"NOTCH2, ADAM30"	NOTCH2			4853			rs10923931-T	rs10923931		10923931	intron_variant	0	0.11	4.00E-08	7.397940009		1.13	[1.08-1.17]	"Affymetrix, Illumina [2202892] (imputed)"	N
6/16/2008	18372903	Zeggini E	3/30/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	"4,549 European ancestry cases, 5,579 European ancestry controls"	"24,194 European ancestry cases, 55,598 European ancestry controls"	12q13.2	12	54705212	DCD	DCD - VDAC1P5	117159	10187		56719	96673	rs1153188-A	rs1153188		1153188	intergenic_variant	0	0.73	2.00E-07	6.698970004		1.08	[1.05-1.11]	"Affymetrix, Illumina [2202892] (imputed)"	N
6/16/2008	18372903	Zeggini E	3/30/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	"4,549 European ancestry cases, 5,579 European ancestry controls"	"24,194 European ancestry cases, 55,598 European ancestry controls"	6p21.1	6	43844025	VEGFA	LOC105375069 - LOC285857	105375069	285857		5293	1725	rs9472138-T	rs9472138		9472138	intergenic_variant	0	0.28	4.00E-06	5.397940009		1.06	[1.04-1.09]	"Affymetrix, Illumina [2202892] (imputed)"	N
6/16/2008	18372903	Zeggini E	3/30/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	"4,549 European ancestry cases, 5,579 European ancestry controls"	"24,194 European ancestry cases, 55,598 European ancestry controls"	3p25.2	3	12236345	"SYN2, PPARG"	SYN2 - GSTM5P1	6854	100505557		44313	21031	rs17036101-G	rs17036101		17036101	regulatory_region_variant	0	0.93	2.00E-07	6.698970004		1.15	[1.10-1.21]	"Affymetrix, Illumina [2202892] (imputed)"	N
6/16/2008	18372903	Zeggini E	3/30/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	"4,549 European ancestry cases, 5,579 European ancestry controls"	"24,194 European ancestry cases, 55,598 European ancestry controls"	3q27.2	3	185793899	IGF2BP2	IGF2BP2			10644			rs4402960-T	rs4402960		4402960	intron_variant	0	NR	8.00E-08	7.096910013		1.17	[1.10-1.25]	"Affymetrix, Illumina [2202892] (imputed)"	N
6/16/2008	18372903	Zeggini E	3/30/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	"4,549 European ancestry cases, 5,579 European ancestry controls"	"24,194 European ancestry cases, 55,598 European ancestry controls"	6p22.3	6	20703721	CDKAL1	CDKAL1			54901			rs6931514-G	rs6931514		6931514	intron_variant	0	NR	1.00E-11	11		1.25	[1.17-1.33]	"Affymetrix, Illumina [2202892] (imputed)"	N
6/16/2008	18372903	Zeggini E	3/30/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	"4,549 European ancestry cases, 5,579 European ancestry controls"	"24,194 European ancestry cases, 55,598 European ancestry controls"	9p21.3	9	22129580	"CDKN2A, CDKN2B"	CDKN2B-AS1 - DMRTA1	100048912	63951		8483	317261	rs7020996-C	rs7020996		7020996	regulatory_region_variant	0	NR	2.00E-07	6.698970004		1.26	[1.15-1.38]	"Affymetrix, Illumina [2202892] (imputed)"	N
6/16/2008	18372903	Zeggini E	3/30/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	"4,549 European ancestry cases, 5,579 European ancestry controls"	"24,194 European ancestry cases, 55,598 European ancestry controls"	10q23.33	10	92705802	HHEX	HHEX - EXOC6	3087	54536		10151	128911	rs5015480-C	rs5015480		5015480	downstream_gene_variant	0	NR	7.00E-08	7.15490196		1.17	[1.11-1.24]	"Affymetrix, Illumina [2202892] (imputed)"	N
6/16/2008	18372903	Zeggini E	3/30/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	"4,549 European ancestry cases, 5,579 European ancestry controls"	"24,194 European ancestry cases, 55,598 European ancestry controls"	11p15.1	11	17387083	KCNJ11	KCNJ11			3767			rs5215-C	rs5215		5215	missense_variant	0	NR	4.00E-07	6.397940009		1.16	[1.09-1.23]	"Affymetrix, Illumina [2202892] (imputed)"	N
6/16/2008	18372903	Zeggini E	3/30/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	"4,549 European ancestry cases, 5,579 European ancestry controls"	"24,194 European ancestry cases, 55,598 European ancestry controls"	10q25.2	10	112998590	TCF7L2	TCF7L2			6934			rs7903146-T	rs7903146		7903146	intron_variant	0	NR	3.00E-23	22.52287875		1.37	[1.28-1.47]	"Affymetrix, Illumina [2202892] (imputed)"	N
6/16/2008	18372903	Zeggini E	3/30/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	"4,549 European ancestry cases, 5,579 European ancestry controls"	"24,194 European ancestry cases, 55,598 European ancestry controls"	16q12.2	16	53782363	FTO	FTO			79068			rs8050136-A	rs8050136		8050136	intron_variant	0	NR	7.00E-06	5.15490196		1.15	[1.09-1.22]	"Affymetrix, Illumina [2202892] (imputed)"	N
6/16/2008	17463249	Zeggini E	4/26/2007	Science	www.ncbi.nlm.nih.gov/pubmed/17463249	Replication of genome-wide association signals in UK samples reveals risk loci for type 2 diabetes.	Type 2 diabetes	"1,924 European ancestry cases, 2,938 European ancestry controls"	"3,757 European ancestry cases, 5,346 European ancestry controls"	11p15.1	11	17387083	KCNJ11	KCNJ11			3767			rs5215-C	rs5215		5215	missense_variant	0	NR	5.00E-11	10.30103	(DGI+FUSION+WTCCC)	1.14	[1.10-1.19]	Affymetrix [393453]	N
6/16/2008	17463249	Zeggini E	4/26/2007	Science	www.ncbi.nlm.nih.gov/pubmed/17463249	Replication of genome-wide association signals in UK samples reveals risk loci for type 2 diabetes.	Type 2 diabetes	"1,924 European ancestry cases, 2,938 European ancestry controls"	"3,757 European ancestry cases, 5,346 European ancestry controls"	3p25.2	3	12351626	PPARG	PPARG			5468			rs1801282-C	rs1801282		1801282	missense_variant	0	NR	2.00E-06	5.698970004	(DGI+FUSION+WTCCC)	1.14	[1.08-1.20]	Affymetrix [393453]	N
1/15/2009	19056611	Timpson NJ	12/3/2008	Diabetes	www.ncbi.nlm.nih.gov/pubmed/19056611	Adiposity-related heterogeneity in patterns of type 2 diabetes susceptibility observed in genome-wide association data.	Type 2 diabetes	"958 European ancestry obese cases, 955 European ancestry non-obese cases, 2,938 European ancestry controls"	"Up to 3,757 European ancestry cases, up to 5,346 European ancestry controls"	16q12.2	16	53782363	FTO	FTO			79068			rs8050136-?	rs8050136		8050136	intron_variant	0	NR	2.00E-17	16.69897	(obese)	1.3	[1.23-1.39]	Affymetrix [393453]	N
1/15/2009	19056611	Timpson NJ	12/3/2008	Diabetes	www.ncbi.nlm.nih.gov/pubmed/19056611	Adiposity-related heterogeneity in patterns of type 2 diabetes susceptibility observed in genome-wide association data.	Type 2 diabetes	"958 European ancestry obese cases, 955 European ancestry non-obese cases, 2,938 European ancestry controls"	"Up to 3,757 European ancestry cases, up to 5,346 European ancestry controls"	11p15.1	11	17388025	KCNJ11	KCNJ11			3767			rs5219-?	rs5219		5219	missense_variant	0	NR	5.00E-07	6.301029996	(obese)	1.19	[1.11-1.27]	Affymetrix [393453]	N
1/15/2009	19056611	Timpson NJ	12/3/2008	Diabetes	www.ncbi.nlm.nih.gov/pubmed/19056611	Adiposity-related heterogeneity in patterns of type 2 diabetes susceptibility observed in genome-wide association data.	Type 2 diabetes	"958 European ancestry obese cases, 955 European ancestry non-obese cases, 2,938 European ancestry controls"	"Up to 3,757 European ancestry cases, up to 5,346 European ancestry controls"	11p15.1	11	17388025	KCNJ11	KCNJ11			3767			rs5219-?	rs5219		5219	missense_variant	0	NR	1.00E-09	9	(non-obese)	1.25	[1.16-1.34]	Affymetrix [393453]	N
1/15/2009	19056611	Timpson NJ	12/3/2008	Diabetes	www.ncbi.nlm.nih.gov/pubmed/19056611	Adiposity-related heterogeneity in patterns of type 2 diabetes susceptibility observed in genome-wide association data.	Type 2 diabetes	"958 European ancestry obese cases, 955 European ancestry non-obese cases, 2,938 European ancestry controls"	"Up to 3,757 European ancestry cases, up to 5,346 European ancestry controls"	9p21.3	9	22134095	CDKN2B	CDKN2B-AS1 - DMRTA1	100048912	63951		12998	312746	rs10811661-?	rs10811661		10811661	intergenic_variant	0	NR	7.00E-07	6.15490196	(non-obese)	1.26	[1.15-1.38]	Affymetrix [393453]	N
1/15/2009	19056611	Timpson NJ	12/3/2008	Diabetes	www.ncbi.nlm.nih.gov/pubmed/19056611	Adiposity-related heterogeneity in patterns of type 2 diabetes susceptibility observed in genome-wide association data.	Type 2 diabetes	"958 European ancestry obese cases, 955 European ancestry non-obese cases, 2,938 European ancestry controls"	"Up to 3,757 European ancestry cases, up to 5,346 European ancestry controls"	6p22.3	6	20660803	CDKAL	CDKAL1			54901			rs10946398-?	rs10946398		10946398	intron_variant	0	NR	7.00E-07	6.15490196	(non-obese)	1.18	[1.11-1.26]	Affymetrix [393453]	N
1/15/2009	19056611	Timpson NJ	12/3/2008	Diabetes	www.ncbi.nlm.nih.gov/pubmed/19056611	Adiposity-related heterogeneity in patterns of type 2 diabetes susceptibility observed in genome-wide association data.	Type 2 diabetes	"958 European ancestry obese cases, 955 European ancestry non-obese cases, 2,938 European ancestry controls"	"Up to 3,757 European ancestry cases, up to 5,346 European ancestry controls"	8q24.11	8	117172544	SLC30A8	"LOC105375716, SLC30A8"			"105375716, 169026"			rs13266634-?	rs13266634		13266634	missense_variant	0	NR	7.00E-06	5.15490196	(non-obese)	1.18	[1.10-1.27]	Affymetrix [393453]	N
1/15/2009	19056611	Timpson NJ	12/3/2008	Diabetes	www.ncbi.nlm.nih.gov/pubmed/19056611	Adiposity-related heterogeneity in patterns of type 2 diabetes susceptibility observed in genome-wide association data.	Type 2 diabetes	"958 European ancestry obese cases, 955 European ancestry non-obese cases, 2,938 European ancestry controls"	"Up to 3,757 European ancestry cases, up to 5,346 European ancestry controls"	10q25.2	10	112998590	TCF7L2	TCF7L2			6934			rs7903146-?	rs7903146		7903146	intron_variant	0	NR	6.00E-16	15.22184875	(obese)	1.31	[1.23-1.40]	Affymetrix [393453]	N
1/15/2009	19056611	Timpson NJ	12/3/2008	Diabetes	www.ncbi.nlm.nih.gov/pubmed/19056611	Adiposity-related heterogeneity in patterns of type 2 diabetes susceptibility observed in genome-wide association data.	Type 2 diabetes	"958 European ancestry obese cases, 955 European ancestry non-obese cases, 2,938 European ancestry controls"	"Up to 3,757 European ancestry cases, up to 5,346 European ancestry controls"	10q25.2	10	112998590	TCF7L2	TCF7L2			6934			rs7903146-?	rs7903146		7903146	intron_variant	0	NR	9.00E-30	29.04575749	(non-obese)	1.49	[1.39-1.59]	Affymetrix [393453]	N
4/3/2009	18711367	Yasuda K	8/17/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18711367	Variants in KCNQ1 are associated with susceptibility to type 2 diabetes mellitus.	Type 2 diabetes	"187 Japanese ancestry cases, 1,504 Japanese ancestry controls"	"6,552 East Asian ancestry cases, 6,621 East Asian ancestry controls, 2,830 European ancestry cases, 3,740 European ancestry controls"	11p15.4	11	2818521	KCNQ1	KCNQ1			3784			rs2237892-C	rs2237892		2237892	intron_variant	0	0.61	2.00E-42	41.69897		1.45	[1.34-1.47]	NR [82343]	N
4/10/2009	18711366	Unoki H	8/17/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18711366	SNPs in KCNQ1 are associated with susceptibility to type 2 diabetes in East Asian and European populations.	Type 2 diabetes	"194 Japanese ancestry cases, 1,558 Japanese ancestry controls"	"5,324 East Asian ancestry cases, 7,037 East Asian ancestry controls, 4,085 European ancestry cases, 5,302 European ancestry controls"	6p22.3	6	20657634	CDKAL1	CDKAL1			54901			rs4712524-G	rs4712524		4712524	intron_variant	0	0.42	3.00E-10	9.522878745		1.22	[1.15-1.31]	Affymetrix [207097]	N
4/10/2009	18711366	Unoki H	8/17/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18711366	SNPs in KCNQ1 are associated with susceptibility to type 2 diabetes in East Asian and European populations.	Type 2 diabetes	"194 Japanese ancestry cases, 1,558 Japanese ancestry controls"	"5,324 East Asian ancestry cases, 7,037 East Asian ancestry controls, 4,085 European ancestry cases, 5,302 European ancestry controls"	3q27.2	3	185812502	IGF2BP2	IGF2BP2			10644			rs6769511-C	rs6769511		6769511	intron_variant	0	0.32	1.00E-09	9		1.23	[1.15-1.31]	Affymetrix [207097]	N
